항목ID,항목코드,항목코드명,,,
B_04_002#9,10,잡지,,,
B_04_002#9,99,없음,,,
B_04_002#10,1,지상파채널,,,
B_04_002#10,2,종합편성채널,,,
B_04_002#10,3,케이블채널,,,
B_04_002#10,4,VOD,,,
B_04_002#10,5,라디오,,,
B_04_002#10,6,DMB,,,
B_04_002#10,7,PC,,,
B_04_002#10,8,모바일기기,,,
B_04_002#10,9,신문,,,
B_04_002#10,10,잡지,,,
B_04_002#10,99,없음,,,
B_04_003#1,1,지상파채널,,,
B_04_003#1,2,종합편성채널,,,
B_04_003#1,3,케이블채널,,,
B_04_003#1,4,VOD,,,
B_04_003#1,5,라디오,,,
B_04_003#1,6,DMB,,,
B_04_003#1,7,PC,,,
B_04_003#1,8,모바일기기,,,
B_04_003#1,9,신문,,,
B_04_003#1,10,잡지,,,
B_04_003#1,99,없음,,,
B_04_003#2,1,지상파채널,,,
B_04_003#2,2,종합편성채널,,,
B_04_003#2,3,케이블채널,,,
B_04_003#2,4,VOD,,,
B_04_003#2,5,라디오,,,
B_04_003#2,6,DMB,,,
B_04_003#2,7,PC,,,
B_04_003#2,8,모바일기기,,,
B_04_003#2,9,신문,,,
B_04_003#2,10,잡지,,,
B_04_003#2,99,없음,,,
B_04_003#3,1,지상파채널,,,
B_04_003#3,2,종합편성채널,,,
B_04_003#3,3,케이블채널,,,
B_04_003#3,4,VOD,,,
B_04_003#3,5,라디오,,,
B_04_003#3,6,DMB,,,
B_04_003#3,7,PC,,,
B_04_003#3,8,모바일기기,,,
B_04_003#3,9,신문,,,
B_04_003#3,10,잡지,,,
B_04_003#3,99,없음,,,
B_04_003#4,1,지상파채널,,,
B_04_003#4,2,종합편성채널,,,
B_04_003#4,3,케이블채널,,,
B_04_003#4,4,VOD,,,
B_04_003#4,5,라디오,,,
B_04_003#4,6,DMB,,,
B_04_003#4,7,PC,,,
B_04_003#4,8,모바일기기,,,
B_04_003#4,9,신문,,,
B_04_003#4,10,잡지,,,
B_04_003#4,99,없음,,,
B_04_003#5,1,지상파채널,,,
B_04_003#5,2,종합편성채널,,,
B_04_003#5,3,케이블채널,,,
B_04_003#5,4,VOD,,,
B_04_003#5,5,라디오,,,
B_04_003#5,6,DMB,,,
B_04_003#5,7,PC,,,
B_04_003#5,8,모바일기기,,,
B_04_003#5,9,신문,,,
B_04_003#5,10,잡지,,,
B_04_003#5,99,없음,,,
B_04_003#6,1,지상파채널,,,
B_04_003#6,2,종합편성채널,,,
B_04_003#6,3,케이블채널,,,
B_04_003#6,4,VOD,,,
B_04_003#6,5,라디오,,,
B_04_003#6,6,DMB,,,
B_04_003#6,7,PC,,,
B_04_003#6,8,모바일기기,,,
B_04_003#6,9,신문,,,
B_04_003#6,10,잡지,,,
B_04_003#6,99,없음,,,
B_04_003#7,1,지상파채널,,,
B_04_003#7,2,종합편성채널,,,
B_04_003#7,3,케이블채널,,,
B_04_003#7,4,VOD,,,
B_04_003#7,5,라디오,,,
B_04_003#7,6,DMB,,,
B_04_003#7,7,PC,,,
B_04_003#7,8,모바일기기,,,
B_04_003#7,9,신문,,,
B_04_003#7,10,잡지,,,
B_04_003#7,99,없음,,,
B_04_003#8,1,지상파채널,,,
B_04_003#8,2,종합편성채널,,,
B_04_003#8,3,케이블채널,,,
B_04_003#8,4,VOD,,,
B_04_003#8,5,라디오,,,
B_04_003#8,6,DMB,,,
B_04_003#8,7,PC,,,
B_04_003#8,8,모바일기기,,,
B_04_003#8,9,신문,,,
B_04_003#8,10,잡지,,,
B_04_003#8,99,없음,,,
B_04_003#9,1,지상파채널,,,
B_04_003#9,2,종합편성채널,,,
B_04_003#9,3,케이블채널,,,
B_04_003#9,4,VOD,,,
B_04_003#9,5,라디오,,,
B_04_003#9,6,DMB,,,
B_04_003#9,7,PC,,,
B_04_003#9,8,모바일기기,,,
B_04_003#9,9,신문,,,
B_04_003#9,10,잡지,,,
B_04_003#9,99,없음,,,
B_04_003#10,1,지상파채널,,,
B_04_003#10,2,종합편성채널,,,
B_04_003#10,3,케이블채널,,,
B_04_003#10,4,VOD,,,
B_04_003#10,5,라디오,,,
B_04_003#10,6,DMB,,,
B_04_003#10,7,PC,,,
B_04_003#10,8,모바일기기,,,
B_04_003#10,9,신문,,,
B_04_003#10,10,잡지,,,
B_04_003#10,99,없음,,,
B_04_004#1,1,지상파채널,,,
B_04_004#1,2,종합편성채널,,,
B_04_004#1,3,케이블채널,,,
B_04_004#1,4,VOD,,,
B_04_004#1,5,라디오,,,
B_04_004#1,6,DMB,,,
B_04_004#1,7,PC,,,
B_04_004#1,8,모바일기기,,,
B_04_004#1,9,신문,,,
